PERMNO,date,RET
10107,20200930,-0.067397
10107,20201030,-0.037370
10107,20201130,0.060058
10107,20201231,0.039006
10107,20210129,0.042892
10107,20210226,0.004225
10107,20210331,0.014588
10107,20210430,0.069602
10107,20210528,-0.007693
10107,20210630,0.084989
10107,20210730,0.051717
10107,20210831,0.061528
10107,20210930,-0.066119
10107,20211029,0.176291
10107,20211130,-0.001236
10107,20211231,0.017333
10138,20170131,-0.103906
10138,20170228,0.055901
10138,20170331,-0.034967
10138,20170428,0.040205
10138,20170531,-0.006348
10138,20170630,0.061613
10138,20170731,0.114675
10138,20170831,0.019826
10138,20170929,0.081318
10138,20171031,0.024821
10138,20171130,0.107858
10138,20171229,0.025068
10138,20180131,0.063852
10138,20180228,0.002419
10138,20180329,-0.028865
10138,20180430,0.054182
10138,20180531,0.066772
10138,20180629,-0.038132
10138,20180731,0.025756
10138,20180831,-0.026789
10138,20180928,-0.051860
10138,20181031,-0.111651
10138,20181130,0.024436
10138,20181231,-0.063808
10138,20190131,0.012348
10138,20190228,0.074577
10138,20190329,0.004481
10138,20190430,0.073712
10138,20190531,-0.059163
10138,20190628,0.092248
10138,20190731,0.033543
10138,20190830,-0.024429
10138,20190930,0.039685
10138,20191031,0.013567
10138,20191129,0.067012
10138,20191231,-0.007770
10138,20200131,0.095946
10138,20200228,-0.116229
10138,20200331,-0.164901
10138,20200430,0.184127
10138,20200529,0.045576
10138,20200630,0.028950
10138,20200731,0.118219
10138,20200831,0.008038
10138,20200930,-0.072480
10138,20201030,-0.012167
10138,20201130,0.132244
10138,20201231,0.061920
10138,20210129,0.033622
10138,20210226,0.036171
10138,20210331,0.065006
10138,20210430,0.044289
10138,20210528,0.067801
10138,20210630,0.055918
10138,20210730,0.031267
10138,20210831,0.096542
10138,20210930,-0.116541
10138,20211029,0.102593
10138,20211130,-0.078062
10138,20211231,-0.011153
10145,20170131,0.021321
10145,20170228,0.057852
10145,20170331,0.002972
10145,20170428,0.050212
10145,20170531,0.019178
10145,20170630,0.002256
10145,20170731,0.021232
10145,20170831,0.020680
10145,20170929,0.025096
10145,20171031,0.017074
10145,20171130,0.087021
10145,20171229,-0.016671
10145,20180131,0.041145
10145,20180228,-0.048945
10145,20180329,-0.043677
10145,20180430,0.001176
10145,20180531,0.027475
10145,20180629,-0.026097
10145,20180731,0.108296
10145,20180831,0.000971
10145,20180928,0.046146
10145,20181031,-0.093229
10145,20181130,0.018989
10145,20181231,-0.099693
10145,20190131,0.087118
10145,20190228,0.078396
10145,20190329,0.031479
10145,20190430,0.092562
10145,20190531,-0.048955
10145,20190628,0.062565
10145,20190731,-0.012200
10145,20190830,-0.040705
10145,20190930,0.027822
10145,20191031,0.020863
10145,20191129,0.038905
10145,20191231,-0.008681
10145,20200131,-0.021356
10145,20200228,-0.058596
10145,20200331,-0.175002
10145,20200430,0.060617
10145,20200529,0.034179
10145,20200630,-0.008639
10145,20200731,0.033059
10145,20200831,0.114347
10145,20200930,-0.005678
10145,20201030,0.002065
10145,20201130,0.241891
10145,20201231,0.043056
10145,20210129,-0.081476
10145,20210226,0.040487
10145,20210331,0.072745
10145,20210430,0.027503
10145,20210528,0.039455
10145,20210630,-0.050063
10145,20210730,0.065831
10145,20210831,-0.004063
10145,20210930,-0.084645
10145,20211029,0.029866
10145,20211130,-0.070442
10145,20211231,0.031003
10158,20170131,-0.054545
10158,20170228,-0.028846
10158,20170331,0.297030
10158,20170428,-0.015267
10158,20170531,0.069767
10158,20170630,0.115942
10158,20170731,-0.149351
10158,20170831,0.106870
10158,20170929,0.075862
10158,20171031,-0.012821
10158,20171130,0.103896
10158,20171229,0.011765
10158,20180131,0.011628
10158,20180228,-0.063218
10158,20180329,0.595092
10158,20180430,-0.088462
10158,20180531,0.008439
10158,20180629,0.004184
10158,20180731,0.116667
10158,20180831,0.070896
10158,20180928,-0.048781
10158,20181031,0.199267
10158,20181130,-0.039707
10158,20181231,-0.103053
10158,20190131,0.058865
10158,20190228,0.096450
10158,20190329,-0.011607
10158,20190430,-0.069221
10158,20190531,-0.037185
10158,20190628,0.015862
10158,20190731,-0.032587
10158,20190830,0.010526
10158,20190930,0.115972
10158,20191031,-0.082763
10158,20191129,0.109227
10158,20191231,0.070336
10158,20200131,0.096571
10158,20200228,0.174570
10158,20200331,-0.244454
10158,20200430,0.060481
10158,20200529,0.188261
10158,20200630,0.294501
10158,20200731,-0.003600
10158,20200831,0.233381
10158,20200930,-0.021675
10158,20201030,0.149401
10158,20201130,0.160458
10158,20201231,0.172615
10158,20210129,0.073698
10158,20210226,0.018363
10158,20210331,-0.148634
10158,20210430,0.085544
10158,20210528,0.018375
10158,20210630,0.166667
10158,20210730,0.092634
10158,20210831,0.009047
10158,20210930,-0.155025
10158,20211029,0.405614
10158,20211130,0.099842
10158,20211231,-0.098417
10200,20170131,-0.025308
10200,20170228,0.048935
10200,20170331,0.117106
10200,20170428,0.045170
10200,20170531,0.066594
10200,20170630,0.056065
10200,20170731,-0.028234
10200,20170831,0.084430
10200,20170929,-0.122510
10200,20171031,-0.029228
10200,20171130,-0.047043
10200,20171229,0.023413
10200,20180131,-0.025083
10200,20180228,-0.030534
10200,20180329,0.055118
10200,20180430,0.022664
10200,20180531,0.180541
10200,20180629,0.076923
10200,20180731,0.027423
10200,20180831,0.135527
10200,20180928,0.010568
10200,20181031,-0.022358
10200,20181130,0.192733
10200,20181231,-0.184475
10200,20190131,0.080963
10200,20190228,0.044027
10200,20190329,-0.007392
10200,20190430,0.140487
10200,20190531,0.031018
10200,20190628,0.237225
10200,20190731,0.098197
10200,20190830,-0.016739
10200,20190930,-0.173688
10200,20191031,0.036511
10200,20191129,0.116493
10200,20191231,0.042254
10200,20200131,0.085297
10200,20200228,-0.147325
10200,20200331,0.127804
10200,20200430,0.203128
10200,20200529,0.127594
10200,20200630,-0.056196
10200,20200731,0.220856
10200,20200831,0.026506
10200,20200930,-0.047576
10200,20201030,0.128982
10200,20201130,0.138680
10200,20201231,0.010334
10200,20210129,0.043678
10200,20210226,0.061950
10200,20210331,-0.084656
10200,20210430,0.088987
10200,20210528,-0.137452
10200,20210630,0.093149
10200,20210730,0.230839
10200,20210831,0.151730
10200,20210930,0.021238
10200,20211029,0.005225
10200,20211130,-0.013769
10200,20211231,-0.075602
10220,20170131,0.045088
10220,20170228,0.119306
10220,20170331,0.026916
10220,20170428,0.032983
10220,20170531,-0.009355
10220,20170630,0.003086
10220,20170731,0.080615
10220,20170831,0.040812
10220,20170929,0.023757
10220,20171031,0.069618
10220,20171130,0.044059
10220,20171229,-0.031385
10220,20180131,0.048768
10220,20180228,-0.007566
10220,20180329,0.011595
10220,20180430,0.067212
10220,20180531,-0.013274
10220,20180629,-0.066227
10220,20180731,0.055199
10220,20180831,-0.065085
10220,20180928,0.019896
10220,20181031,-0.065238
10220,20181130,-0.223743
10220,20181231,-0.154578
10220,20190131,0.214230
10220,20190228,0.127747
10220,20190329,-0.049666
10220,20190430,0.030657
10220,20190531,-0.085910
10220,20190628,0.119467
10220,20190731,0.034741
10220,20190830,0.101280
10220,20190930,-0.033615
10220,20191031,0.015557
10220,20191129,0.037866
10220,20191231,0.032430
10220,20200131,0.024323
10220,20200228,-0.137600
10220,20200331,-0.108315
10220,20200430,0.089304
10220,20200529,0.182812
10220,20200630,-0.094774
10220,20200731,-0.037429
10220,20200831,0.023478
10220,20200930,0.012588
10220,20201030,-0.023087
10220,20201130,0.037448
10220,20201231,0.059775
10220,20210129,-0.105508
10220,20210226,0.075853
10220,20210331,0.140321
10220,20210430,0.014862
10220,20210528,-0.062313
10220,20210630,-0.070675
10220,20210730,-0.011872
10220,20210831,0.003657
10220,20210930,-0.062163
10220,20211029,0.053472
10220,20211130,-0.155622
10220,20211231,0.003774
10252,20170131,-0.114975
10252,20170228,0.042502
10252,20170331,0.004923
10252,20170428,-0.026154
10252,20170531,-0.045024
10252,20170630,0.107858
10252,20170731,0.070518
10252,20170831,-0.028732
10252,20170929,0.081818
10252,20171031,-0.034159
10252,20171130,0.008322
10252,20171229,-0.034801
10252,20180131,0.021475
10252,20180228,-0.027330
10252,20180329,0.036455
10252,20180430,0.010482
10252,20180531,0.083679
10252,20180629,0.005488
10252,20180731,0.127551
10252,20180831,0.030543
10252,20180928,-0.089133
10252,20181031,-0.050242
10252,20181130,0.024474
10252,20181231,-0.120443
10252,20190131,0.134689
10252,20190228,0.067059
10252,20190329,-0.043228
10252,20190430,-0.009628
10252,20190531,-0.135610
10252,20190628,0.104398
10252,20190731,0.021142
10252,20190830,-0.130530
10252,20190930,0.110635
10252,20191031,0.099531
10252,20191129,0.025828
10252,20191231,-0.006057
10252,20200131,-0.132733
10252,20200228,-0.064681
10252,20200331,-0.039982
10252,20200430,0.132360
10252,20200529,-0.046920
10252,20200630,-0.027638
10252,20200731,-0.038307
10252,20200831,-0.025883
10252,20200930,-0.159268
10252,20201030,0.093738
10252,20201130,0.180660
10252,20201231,0.086635
10252,20210129,0.027930
10252,20210226,0.138918
10252,20210331,-0.009823
10252,20210430,-0.027200
10252,20210528,-0.003541
10252,20210630,-0.068987
10252,20210730,-0.063841
10252,20210831,0.085173
10252,20210930,-0.000913
10252,20211029,0.109652
10252,20211130,-0.064379
10252,20211231,0.037313
10258,20170131,-0.079096
10258,20170228,0.085890
10258,20170331,0.019774
10258,20170428,-0.077562
10258,20170531,-0.150150
10258,20170630,-0.127208
10258,20170731,-0.072875
10258,20170831,0.074236
10258,20170929,0.162602
10258,20171031,-0.146853
10258,20171130,0.229508
10258,20171229,-0.053333
10258,20180131,-0.028169
10258,20180228,-0.184783
10258,20180329,0.035556
10258,20180430,-0.682403
10258,20180531,-0.215946
10258,20180629,-0.132023
10258,20180731,-0.076648
10258,20180831,0.079570
10258,20180928,-0.101594
10258,20181031,-0.302661
10258,20181130,-0.050556
10258,20181231,-0.337240
10258,20190131,1.565942
10258,20190228,-0.301563
10258,20190329,-0.075188
10258,20190430,-0.256098
10258,20190531,-0.169399
10258,20190628,-0.118421
10258,20190731,-0.186567
10258,20190830,-0.027523
10258,20190930,0.004717
10258,20191031,0.051643
10258,20191129,0.071429
10258,20191231,-0.070833
10258,20200131,0.038117
10258,20200228,0.136069
10258,20200331,-0.368821
10258,20200430,0.475904
10258,20200529,0.089796
10258,20200630,3.868914
10258,20200731,-0.208462
10258,20200831,0.160350
10258,20200930,0.242044
10258,20201030,0.068105
10258,20201130,0.420455
10258,20201231,-0.221333
10258,20210129,0.234018
10258,20210226,0.252544
10258,20210331,-0.239291
10258,20210430,0.472330
10258,20210528,-0.078470
10258,20210630,0.196422
10258,20210730,0.308313
10258,20210831,0.203429
10258,20210930,0.025451
10258,20211029,-0.212076
10258,20211130,-0.104372
10258,20211231,0.014173
10308,20170131,-0.042204
10308,20170228,-0.004197
10308,20170331,-0.102207
10308,20170428,0.026319
10308,20170531,-0.077537
10308,20170630,0.038385
10308,20170731,0.005589
10308,20170831,-0.035447
10308,20170929,0.134615
10308,20171031,0.011377
10308,20171130,0.021924
10308,20171229,-0.081414
10308,20180131,0.012538
10308,20180228,-0.062523
10308,20180329,-0.012770
10308,20180430,0.025607
10308,20180531,0.090734
10308,20180629,0.019105
10308,20180731,0.003260
10308,20180831,0.025560
10308,20180928,-0.076021
10308,20181031,-0.099273
10308,20181130,0.124983
10308,20181231,-0.082671
10308,20190131,-0.019597
10308,20190228,0.100218
10308,20190329,-0.053973
10308,20190430,0.060471
10308,20190531,-0.014132
10308,20190628,0.032519
10308,20190731,0.010662
10308,20190830,-0.035013
10308,20190930,0.025664
10308,20191031,0.085049
10308,20191129,-0.008685
10308,20191231,0.054755
10308,20200131,-0.059126
10308,20200228,-0.070740
10308,20200331,-0.096628
10308,20200430,-0.059749
10308,20200529,-0.039105
10308,20200630,0.006527
10308,20200731,0.004323
10308,20200831,0.025570
10308,20200930,-0.141584
10308,20201030,-0.014434
10308,20201130,0.145740
10308,20201231,0.109888
10308,20210129,-0.052833
10308,20210226,0.164498
10308,20210331,0.069443
10308,20210430,-0.055018
10308,20210528,0.045298
10308,20210630,-0.044239
10308,20210730,-0.010443
10308,20210831,0.044039
10308,20210930,0.016585
10308,20211029,0.014831
10308,20211130,-0.041164
10308,20211231,0.069345
10318,20170131,0.015729
10318,20170228,0.022642
10318,20170331,-0.054491
10318,20170428,-0.015287
10318,20170531,-0.030064
10318,20170630,-0.012830
10318,20170731,-0.001416
10318,20170831,-0.034021
10318,20170929,0.084445
10318,20171031,0.036905
10318,20171130,0.035354
10318,20171229,-0.071617
10318,20180131,-0.019851
10318,20180228,-0.047468
10318,20180329,0.086379
10318,20180430,0.079388
10318,20180531,0.092815
10318,20180629,0.017733
10318,20180731,0.021907
10318,20180831,0.105693
10318,20180928,0.010822
10318,20181031,-0.164511
10318,20181130,-0.074213
10318,20181231,-0.090888
10318,20190131,0.059604
10318,20190228,0.068779
10318,20190329,0.045869
10318,20190430,0.093858
10318,20190531,-0.106590
10318,20190628,0.102327
10318,20190731,0.026708
10318,20190830,-0.134938
10318,20190930,0.117130
10318,20191031,0.020365
10318,20191129,-0.015611
10318,20191231,0.025294
10318,20200131,0.062875
10318,20200228,-0.125532
10318,20200331,0.045098
10318,20200430,-0.096029
10318,20200529,0.127858
10318,20200630,-0.057526
10318,20200731,0.056926
10318,20200831,-0.025534
10318,20200930,-0.000716
10318,20201030,0.023763
10318,20201130,0.037419
10318,20201231,0.116790
10318,20210129,-0.071081
10318,20210226,0.115201
10318,20210331,0.050687
10318,20210430,0.014193
10318,20210528,0.029955
10318,20210630,0.001985
10318,20210730,0.027655
10318,20210831,0.040996
10318,20210930,0.033115
10318,20211029,0.055284
10318,20211130,0.032073
10318,20211231,0.071139
10355,20170131,-0.105046
10355,20170228,-0.035120
10355,20170331,0.026293
10355,20170428,-0.024593
10355,20170531,0.006124
10355,20170630,-0.025131
10355,20170731,-0.001049
10355,20170831,0.024902
10355,20170929,0.041496
10355,20171031,0.061708
10355,20171130,0.015209
10355,20171229,-0.022960
10355,20180131,-0.006602
10355,20180228,-0.007390
10355,20180329,0.006520
10355,20180430,-0.008491
10355,20180531,-0.002428
10355,20180629,0.018584
10355,20180731,0.019896
10355,20180831,0.015632
10355,20180928,0.010694
10355,20181031,-0.016432
10355,20181130,-0.004387
10355,20181231,-0.008475
10355,20190131,-0.055085
10355,20190228,0.017548
10355,20190329,-0.048402
10355,20190430,0.041569
10355,20190531,-0.036368
10355,20190628,0.107543
10355,20190731,0.042437
10355,20190830,-0.191939
10355,20190930,0.234836
10355,20191031,0.135119
10355,20191129,0.010996
10355,20191231,0.022246
10355,20200131,-0.053096
10355,20200228,-0.090909
10355,20200331,-0.086800
10355,20200430,0.215506
10355,20200529,0.009369
10355,20200630,-0.036059
10355,20200731,0.051852
10355,20200831,-0.030986
10355,20200930,-0.120640
10355,20201030,0.120661
10355,20201130,-0.004425
10355,20201231,0.496296
10355,20210129,-0.173267
10355,20210226,0.024850
10355,20210331,-0.075518
10355,20210430,-0.035582
10355,20210528,0.046889
10355,20210630,0.059468
10355,20210730,-0.016248
10355,20210831,0.021021
10355,20210930,-0.057735
10355,20211029,0.071324
10355,20211130,0.061477
10355,20211231,-0.020833
10382,20170131,0.037356
10382,20170228,-0.097314
10382,20170331,-0.024933
10382,20170428,0.030165
10382,20170531,-0.114917
10382,20170630,-0.008219
10382,20170731,-0.094397
10382,20170831,-0.009747
10382,20170929,0.127415
10382,20171031,-0.072487
10382,20171130,0.067757
10382,20171229,0.056529
10382,20180131,0.066667
10382,20180228,-0.056090
10382,20180329,-0.061460
10382,20180430,0.006887
10382,20180531,0.054896
10382,20180629,0.022048
10382,20180731,-0.178428
10382,20180831,-0.007531
10382,20180928,0.036177
10382,20181031,-0.253918
10382,20181130,-0.048657
10382,20181231,-0.153630
10382,20190131,0.226234
10382,20190228,0.030794
10382,20190329,-0.007600
10382,20190430,-0.107256
10382,20190531,-0.123702
10382,20190628,0.106354
10382,20190731,0.003993
10382,20190830,-0.152340
10382,20190930,0.126812
10382,20191031,0.128296
10382,20191129,0.070675
10382,20191231,0.121196
10382,20200131,-0.018095
10382,20200228,-0.089476
10382,20200331,-0.065779
10382,20200430,0.146983
10382,20200529,0.061830
10382,20200630,0.090160
10382,20200731,-0.039300
10382,20200831,0.187458
10382,20200930,0.029021
10382,20201030,-0.063594
10382,20201130,0.143898
10382,20201231,-0.002069
10382,20210129,0.027471
10382,20210226,0.142088
10382,20210331,0.112044
10382,20210430,-0.005436
10382,20210528,-0.084922
10382,20210630,-0.081570
10382,20210730,-0.025898
10382,20210831,-0.000979
10382,20210930,-0.119889
10382,20211029,-0.007991
10382,20211130,0.176471
10382,20211231,0.105137
10397,20170131,0.042672
10397,20170228,-0.003559
10397,20170331,-0.064286
10397,20170428,0.044275
10397,20170531,-0.001831
10397,20170630,0.079633
10397,20170731,0.010221
10397,20170831,0.116357
10397,20170929,0.106344
10397,20171031,-0.024624
10397,20171130,0.071529
10397,20171229,0.013613
10397,20180131,0.053040
10397,20180228,-0.084767
10397,20180329,-0.020134
10397,20180430,-0.058356
10397,20180531,0.142857
10397,20180629,-0.039796
10397,20180731,-0.007989
10397,20180831,-0.005369
10397,20180928,-0.043455
10397,20181031,-0.089392
10397,20181130,0.051880
10397,20181231,-0.124926
10397,20190131,0.114421
10397,20190228,0.048906
10397,20190329,-0.011005
10397,20190430,-0.016398
10397,20190531,-0.055821
10397,20190628,0.118006
10397,20190731,0.066602
10397,20190830,-0.014178
10397,20190930,0.080171
10397,20191031,0.036544
10397,20191129,0.007123
10397,20191231,-0.010065
10397,20200131,0.015389
10397,20200228,-0.088443
10397,20200331,0.079167
10397,20200430,0.108935
10397,20200529,0.152044
10397,20200630,-0.058200
10397,20200731,0.012520
10397,20200831,0.046038
10397,20200930,-0.087372
10397,20201030,-0.092403
10397,20201130,0.051815
10397,20201231,-0.017004
10397,20210129,0.000510
10397,20210226,0.093782
10397,20210331,0.099021
10397,20210430,-0.017808
10397,20210528,0.038071
10397,20210630,-0.072307
10397,20210730,0.029425
10397,20210831,0.031722
10397,20210930,-0.061281
10397,20211029,0.026429
10397,20211130,-0.004634
10397,20211231,0.059189
10421,20170131,-0.028807
10421,20170228,-0.007062
10421,20170331,-0.023329
10421,20170428,0.086131
10421,20170531,-0.077957
10421,20170630,0.025656
10421,20170731,0.039886
10421,20170831,-0.049315
10421,20170929,0.267435
10421,20171031,0.072893
10421,20171130,0.105096
10421,20171229,0.021710
10421,20180131,0.049906
10421,20180228,-0.017040
10421,20180329,-0.005474
10421,20180430,0.045956
10421,20180531,0.001757
10421,20180629,-0.087719
10421,20180731,0.154143
10421,20180831,0.090150
10421,20180928,-0.096478
10421,20181031,-0.027334
10421,20181130,0.006807
10421,20181231,-0.227288
10421,20190131,0.145716
10421,20190228,0.060648
10421,20190329,0.006847
10421,20190430,0.134463
10421,20190531,-0.046598
10421,20190628,0.035252
10421,20190731,0.000659
10421,20190830,-0.056828
10421,20190930,0.004541
10421,20191031,0.037456
10421,20191129,0.051889
10421,20191231,0.033685
10421,20200131,-0.146372
10421,20200228,-0.177089
10421,20200331,-0.420044
10421,20200430,0.181749
10421,20200529,0.036187
10421,20200630,0.017150
10421,20200731,-0.193440
10421,20200831,0.278981
10421,20200930,-0.112630
10421,20201030,-0.027796
10421,20201130,0.478815
10421,20201231,-0.061030
10421,20210129,-0.032746
10421,20210226,0.445755
10421,20210331,-0.033528
10421,20210430,-0.088473
10421,20210528,-0.012686
10421,20210630,-0.121558
10421,20210730,-0.059902
10421,20210831,0.152136
10421,20210930,0.057663
10421,20211029,-0.127888
10421,20211130,-0.089705
10421,20211231,0.003319
10501,20170131,-0.053821
10501,20170228,0.214185
10501,20170331,0.061886
10501,20170428,0.001089
10501,20170531,0.009793
