,Ticker,book/price,e/price,sale/price,ebit/price,price/cashflow,totaldebt/totalassets,totaldebt/equity,roa,totaldebt/totalliabilies,totaldebt/capital
1083,WINA,-0.04329171488980224,0.044218848563337146,0.08663881410896739,0.056864198643473834,18.673363670210566,1.9665415071192238,-1.688253204718164,1.9084724339194765,1.552427539652568,3.829026420557364
1084,PFGC,0.34637381433041275,0.006693611055148284,4.802805724928767,0.04174050333652664,94.12422600619196,0.3822730922671017,2.725226722377855,0.032348929987126705,0.731559962782161,0.5874679254891976
1085,LW,0.04175079489482609,0.027607995458959072,0.31903827351487474,0.04298438059500613,20.80831178597252,0.6857984510856655,7.758635039533916,0.11754644367368272,0.8858269587114554,0.8572786125794382
1086,ARWR,0.059104971329487124,-0.020362937908956963,0.019992684273940214,-0.021546708609276027,40.39667394757744,0.03597137498098988,0.7370591602213189,-0.20986611241600342,0.4243143682725291,0.05880971620772296
1087,CASH,0.46084162215505803,0.07500030961682563,0.2946694779521594,0.16924132022308078,3.2484285087983222,0.3300241966272752,6.682637192513399,0.04779356265833663,0.8696862038815362,0.4708350891447521
1088,MAR,0.026225099787061088,0.020382874586973222,0.2564829596571908,0.032067324987148954,45.809525913339,0.44558368880366295,17.071428571428573,0.06766328806793723,0.9446640316205533,0.88953125
1089,BDC,0.3231462075512817,0.02162399500643857,0.8145911986703905,0.096027451395272,10.86620995754535,0.4522194461325631,2.576811994719911,0.0830613893589125,0.7202538449361949,0.6180115617753646
1090,QCRH,0.7743203923470369,0.11312116276729099,0.3437805949254742,0.172650309723582,9.910993221338048,0.3300241966272752,8.004493286657508,0.024762095046498338,0.8889443338825341,0.4708350891447521
1091,VREX,0.3884405618427434,0.013984824697007521,0.6575278784265433,0.0619672404677747,13.436347732181426,0.40078431372549017,1.3469894475481068,0.06718954248366013,0.5673202614379085,0.4875954198473282
1092,BYD,0.21084091053688822,0.06355676179752438,0.46173560076602066,0.12648158155952366,7.222939684940088,0.6318035387535268,3.0449619365379337,0.14830574169820904,0.7527788850206348,0.7187551976733432
1093,DECK,0.18043723425417532,0.04779779805417516,0.31804491782376926,0.0634339217477676,13.424692351945684,0.10289315197409242,0.5009468746213368,0.23422329145340348,0.3337539010151289,0.1337770135197302
1094,ALBO,0.3907374261095453,-0.07571861538487898,0.09029049937416997,-0.2511374869603444,-4.1784242136873715,0.3108249931302992,0.7200298391872807,-0.3736719957887906,0.41861473724635906,0.34837639567632556
1095,COST,0.07002518229387111,0.019962200395434563,0.7811411945830035,0.02913197489303782,28.000005860683192,0.19246473645137344,2.3451377818264634,0.12328744010258487,0.6949787406357563,0.39373856615235925
1096,LXP,0.4956525348665647,0.08633322340050911,0.07756989854293983,0.01767691295128444,20.11482786163579,0.3810100864848293,0.7343667743701268,0.019559821627848105,0.41999891151245344,0.4099269406392694
1097,REG,0.4691534168143787,0.02808460926524168,0.09432776737124268,0.03236104860185506,19.51605086838098,0.36457808956037596,0.7756076278896891,0.03858610785964372,0.43387571608338077,0.39457394292858794
1098,FFIN,0.24438113724528038,0.03161158576384275,0.07203824784893495,0.046729753517091396,20.37955275726083,0.3300241966272752,6.447863944557373,0.025674031771588557,0.8657333152909212,0.4708350891447521
1099,PTEN,0.885339008643333,-0.3600490227087577,0.7464967080745001,-0.3657599042428957,19.036744994554745,0.29660820975249574,0.8377582422225218,-0.2248009363564321,0.455858786523175,0.35279026254127277
1100,INCY,0.2323209834998294,0.058454916983974474,0.1840243369590815,0.03823678888717603,21.651534914501635,0.012249075273769235,0.30858004394690297,0.1257745240963953,0.23581289151878884,0.01577602323288255
1101,ITRI,0.36074457767197354,-0.026263690281885757,0.6404946560735576,0.01285273989746976,21.330182841068915,0.21895989205402314,1.1209181803764434,0.016611315111183522,0.5226151834538535,0.3195569377541197
1102,URBN,0.5899780902408603,0.0004935925615441236,1.3776459915811317,0.014643245992475667,8.761255921683333,0.3746708230586703,1.4004642070506947,0.010339659564988743,0.5834139092502281,0.4735134903976024
1103,CNTY,0.3924923614142296,0.05715117124981813,1.0766934796616159,0.18988866025094747,6.096173340091232,0.7032123044025945,3.9047124781110547,0.09741554087676547,0.786229772036431,0.7774026537406048
1104,UFPI,0.3473930667309745,0.09404447573314194,1.51628088714652,0.12724096069462368,11.113870515164585,0.12943048515825026,0.6209915733900464,0.2233138619240119,0.3786130649797813,0.17511391824567984
1105,ICHR,0.3810029189336593,0.05394830582163009,0.8346635887240301,0.06851911934760924,86.05307294394972,0.31614025601542206,1.038836463856685,0.08820659903847285,0.5095241733569993,0.3919339854636866
1106,FWRD,0.18178593400721746,0.03243707985366988,0.5090605721747288,0.04876141716450205,27.154906495039956,0.28632976777182073,0.8829537070414754,0.14245457465090627,0.4689194979885008,0.3502889287746793
1107,SCHN,0.5846705455727438,0.11550643856472266,1.9297834294851632,0.14769968191656851,7.520947891236637,0.14021693524264184,0.7832163146534188,0.14128494883773218,0.43803547063196824,0.20045460676801566
1108,VIAV,0.19260954108315767,0.011460118538892061,0.29803765978910396,0.03447979265388999,16.53368680641184,0.3713673906393392,1.5314919979349508,0.07071479555419598,0.6049760375242174,0.4845662586482172
1109,KALV,0.5545429265747287,-0.09970832447431212,0.0,-0.12488982956763214,-15.37213781445759,0.021723226463441086,0.05762209702441358,-0.21294202850599056,0.08673733307831409,0.022458970285288597
1110,NYCB,1.1520215126112556,0.10496939634861771,0.30821550941288756,0.16467514360059993,19.578777103448278,0.3300241966272752,7.450738216922203,0.015707158096326036,0.8816671426411544,0.4708350891447521
1111,SUI,0.2720120010837682,0.015611042481198243,0.09348905827029315,0.019028452738786884,32.314736640957996,0.43020052342937837,0.977460693443963,0.03433882581433463,0.47981004120027704,0.46706375230236696
1112,SHOO,0.2169364275516203,0.05093597587075433,0.49850409529888734,0.06727182862998318,23.475563547656826,0.08176139138440565,0.6587924117532614,0.18577882500136478,0.3946790287575007,0.12008616047388261
1113,SPG,0.06322781485147726,0.04284716199383244,0.11232608898296595,0.060832513227936175,14.434373049775637,0.7498495664805727,8.739275170372801,0.09455816568834426,0.8697138401413561,0.8841199914464165
1114,EMN,0.36593765869494593,0.05498046520013476,0.6720832595526391,0.09449967939299708,9.627766812847437,0.34576970165603454,1.7059957924263676,0.09491590953025324,0.6270378246021007,0.4847335140018067
